new,charcount,wordcount,sentencecount,number of standby,standby,roadblock,roadblock number,change in charcount,change in wordcount,change in sentencecount,chars produced,words produced,sentences produced,chars deleted,words deleted,sentences deleted,time (s),min time (s),5rSUMMARY wordcount,5rSUMMARY sentencecount,5rSUMMARY standby,5rSUMMARY number of standby,5rSUMMARY roadblock number,5rSUMMARY words produced,5rSUMMARY sentences produced,5rSUMMARY words deleted,5rSUMMARY sentences deleted,5rSUMMARY change in wordcount,5rSUMMARY change in sentencecount
False,1348,218,5,11,False,False,1,25.0,5.0,0.0,25.0,5.0,0.0,0.0,0.0,0.0,420.5759491920471,420.57592129707336,131.85,4.6,0.1666666666666666,7.416666666666667,1.0,165.0,2.0,1.0,0.0,164.0,2.0
False,1374,221,5,11,False,False,1,26.0,3.0,0.0,26.0,3.0,0.0,0.0,0.0,0.0,425.895446062088,425.8953971862793,134.61666666666667,4.633333333333334,0.1666666666666666,7.583333333333333,1.0,167.0,2.0,1.0,0.0,166.0,2.0
False,1388,225,5,11,False,False,1,14.0,4.0,0.0,14.0,4.0,0.0,0.0,0.0,0.0,431.1673369407654,431.1673040390015,137.45,4.666666666666667,0.1666666666666666,7.75,1.0,171.0,2.0,1.0,0.0,170.0,2.0
False,1417,229,5,11,False,False,1,29.0,4.0,0.0,29.0,4.0,0.0,0.0,0.0,0.0,436.4337899684906,436.4337532520294,140.33333333333334,4.7,0.1666666666666666,7.916666666666667,1.0,174.0,2.0,1.0,0.0,173.0,2.0
False,1435,230,6,11,False,False,1,18.0,1.0,1.0,18.0,1.0,1.0,0.0,0.0,0.0,441.7588701248169,441.75880908966064,143.16666666666666,4.75,0.1666666666666666,8.083333333333334,1.0,171.0,3.0,1.0,0.0,170.0,3.0
False,1466,235,6,11,False,False,1,31.0,5.0,0.0,31.0,5.0,0.0,0.0,0.0,0.0,447.0210702419281,447.02105021476746,146.05,4.8,0.1666666666666666,8.25,1.0,174.0,3.0,1.0,0.0,173.0,3.0
False,1486,239,7,11,False,False,1,20.0,4.0,1.0,20.0,4.0,1.0,0.0,0.0,0.0,452.31243920326233,452.31236815452576,148.98333333333332,4.866666666666666,0.1666666666666666,8.416666666666666,1.0,177.0,4.0,1.0,0.0,176.0,4.0
False,1503,242,7,11,False,False,1,17.0,3.0,0.0,17.0,3.0,0.0,0.0,0.0,0.0,457.60235810279846,457.60232520103455,151.81666666666666,4.933333333333334,0.1666666666666666,8.583333333333334,1.0,171.0,4.0,1.0,0.0,170.0,4.0
False,1537,247,7,11,False,False,1,34.0,5.0,0.0,34.0,5.0,0.0,0.0,0.0,0.0,462.8698241710663,462.8697862625122,154.65,5.0,0.1666666666666666,8.75,1.0,171.0,4.0,1.0,0.0,170.0,4.0
False,1563,253,7,11,False,False,1,26.0,6.0,0.0,26.0,6.0,0.0,0.0,0.0,0.0,468.1749520301819,468.1748881340027,157.51666666666668,5.066666666666666,0.1666666666666666,8.916666666666666,1.0,173.0,4.0,1.0,0.0,172.0,4.0
False,1585,256,8,11,False,False,1,22.0,3.0,1.0,22.0,3.0,1.0,0.0,0.0,0.0,473.4803631305695,473.4803111553192,160.31666666666666,5.133333333333334,0.1666666666666666,9.083333333333334,1.0,169.0,4.0,1.0,0.0,168.0,4.0
False,1590,257,8,11,False,False,1,5.0,1.0,0.0,5.0,1.0,0.0,0.0,0.0,0.0,478.84357714653015,478.84352111816406,163.06666666666666,5.2,0.1666666666666666,9.25,1.0,166.0,4.0,1.0,0.0,165.0,4.0
True,1592,256,8,11,False,False,1,2.0,-1.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,484.20523715019226,473.4803111553192,165.71666666666667,5.266666666666667,0.1666666666666666,9.416666666666666,1.0,161.0,4.0,2.0,0.0,159.0,4.0
True,1592,256,8,11,False,False,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,489.4941730499268,473.4803111553192,168.3,5.333333333333333,0.1666666666666666,9.583333333333334,1.0,157.0,4.0,2.0,0.0,155.0,4.0
True,1600,256,8,11,False,False,1,8.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,494.7911341190338,473.4803111553192,170.8,5.4,0.1666666666666666,9.75,1.0,152.0,4.0,2.0,0.0,150.0,4.0
